product_name @ features @ price @ link@ itemcode @ description 
Infinity Gear Core 1 Desktop PC@Μοντέλο Επεξεργαστή: Intel Celeron J4005 SoC    -   RAM Memory : 4 GB     -   Τύπος Δίσκου : SSD    -   Χωρητικότητα Δίσκου: 240 GB    -   Κάρτα Γραφικών: Intel UHD Graphics 600@299.00 € από 349.00 € @https://www.kotsovolos.gr/site/computing/desktops-and-upgrade-tools/desktops-mac-all-in-one/188871-infinity%20gear-core-1@188871@Το Core 1 είναι το προσιτό σύστημα για καθημερινές εργασίες που θα σε ξαφνιάσει. Βασισμένο στο J4005 System on Chip της Intel που φτάνει και τα 2.7GHz καθώς και τον ταχύτατο SSD των 240GB το σύστημα της Infinity Gear αποδεικνύεται παραπάνω από ικανό σε μια πληθώρα σεναρίων χρήσης.
Lenovo Desktop PC IdeaCentre 510S-08IKL SFF i3-4GB-500GB W10 Pro 3Y@Μοντέλο Επεξεργαστή: Intel Core i3-7100    -   RAM Memory : 4 GB     -   Τύπος Δίσκου : HDD    -   Χωρητικότητα Δίσκου: 500 GB    -   Κάρτα Γραφικών: Integrated@335.00 € από 538.99 € @https://www.kotsovolos.gr/site/computing/desktops-and-upgrade-tools/desktops-mac-all-in-one/173746-lenovo-desktop-pc-ideacentre-510s-08ikl-sff-i3/4gb/500gb-w10-pro-3y@173746@Σταθερός υπολογιστής IdeaCentre 510S-08IKL της Lenovo με επεξεργαστή Intel Core i3 μνήμη 4GB χωρητικότητα 500GB και λειτουργικό σύστημα Windows 10 Professional μαζί με 3 έτη εγγύηση On Site.
HP 290 G1 Microtower i3-7100-4GB-500GB-W10PRO Desktop PC@Μοντέλο Επεξεργαστή: Intel® Core™ i3-7100    -   RAM Memory : 4 GB     -   Τύπος Δίσκου : HDD    -   Χωρητικότητα Δίσκου: 500 GB    -   Κάρτα Γραφικών: Intel HD Graphics 630@349.00 € από 469.00 € @https://www.kotsovolos.gr/site/computing/desktops-and-upgrade-tools/desktops-mac-all-in-one/181476-hp-290-g1-microtower-i3-7100/4gb/500gb/w10pro@181476@Φέρε εις πέρας τις καθημερινές σου εργασίες με το Microtower HP 290 G1 ο οποίος είναι μικρότερος κατά 27% από τους υπολογιστές της προηγούμενης γενιάς διαθέτει κομψή σχεδίαση και προσφέρει ευκολία στην εγκατάσταση και χρήση.
Lenovo Desktop PC IdeaCentre 510-15IKL MT i3-4GB-1TB W10 Pro 3Y@Μοντέλο Επεξεργαστή: Intel Core i3-7100    -   RAM Memory : 4 GB     -   Τύπος Δίσκου : HDD    -   Χωρητικότητα Δίσκου: 1000 GB    -   Κάρτα Γραφικών: Integrated@359.00 € από 569.00 € @https://www.kotsovolos.gr/site/computing/desktops-and-upgrade-tools/desktops-mac-all-in-one/173744-lenovo-desktop-pc-ideacentre-510-15ikl-mt-i3/4gb/1tb-w10-pro-3y@173744@Σταθερός υπολογιστής IdeaCentre 510-15IKL της Lenovo με επεξεργαστή Intel Core i3 μνήμη 4GB χωρητικότητα 1000GB και λειτουργικό σύστημα Windows 10 Professional μαζί με 3 έτη εγγύηση On Site.
HP Pavilion 590-a0001nv Desktop PC@Μοντέλο Επεξεργαστή: AMD A6-9225 APU    -   RAM Memory : 4 GB     -   Τύπος Δίσκου : HDD & SSD    -   Χωρητικότητα Δίσκου: 1000 GB & 128 GB    -   Κάρτα Γραφικών: AMD Radeon R4@399.00 € από 449.00 € @https://www.kotsovolos.gr/site/computing/desktops-and-upgrade-tools/desktops-mac-all-in-one/190386-hp-pavilion-590-a0001nv@190386@Ο επιτραπέζιος υπολογιστής HP Pavilion 590-a0001nv ξεπερνάει τις προσδοκίες με την απόδοση νέας γενιάς την ελευθερία να αποθηκεύεις αυτά που χρειάζεσαι και σχεδίαση που μειώνει το μέγεθος.
Lenovo Desktop PC IdeaCentre 510S-08IKL SFF i5-4GB-1TB w10 Pro 3Y@Μοντέλο Επεξεργαστή: Intel Core i5-7400    -   RAM Memory : 4 GB     -   Τύπος Δίσκου : HDD    -   Χωρητικότητα Δίσκου: 1000 GB    -   Κάρτα Γραφικών: Integrated@419.00 € από 699.00 € @https://www.kotsovolos.gr/site/computing/desktops-and-upgrade-tools/desktops-mac-all-in-one/173745-lenovo-desktop-pc-ideacentre-510s-08ikl-sff-i5/4gb/1tb-w10-pro-3y@173745@Σταθερός υπολογιστής IdeaCentre 510S-08IKL της Lenovo με επεξεργαστή Intel Core i5 μνήμη 4GB χωρητικότητα 1TB και λειτουργικό σύστημα Windows 10 Professional μαζί με 3 έτη εγγύηση On Site.
Lenovo Desktop PC IdeaCentre 510S-08IKL SFF i3-8GB-1TB W10 Pro 3Y@Μοντέλο Επεξεργαστή: Intel Core i3-7100    -   RAM Memory : 8 GB     -   Τύπος Δίσκου : HDD    -   Χωρητικότητα Δίσκου: 1000 GB    -   Κάρτα Γραφικών: Integrated@419.00 € από 599.00 € @https://www.kotsovolos.gr/site/computing/desktops-and-upgrade-tools/desktops-mac-all-in-one/173747-lenovo-desktop-pc-ideacentre-510s-08ikl-sff-i3/8gb/1tb-w10-pro-3y@173747@Σταθερός υπολογιστής IdeaCentre 510S-08IKL της Lenovo με επεξεργαστή Intel Core i3 μνήμη 8GB χωρητικότητα 1TB και λειτουργικό σύστημα Windows 10 Professional μαζί με 3 έτη εγγύηση On Site.
Acer Aspire XC-330 A9-9420-12GB-1TB Desktop PC@Μοντέλο Επεξεργαστή: AMD A9 A9-9420 FT4 1M Stoney Ridge    -   RAM Memory : 12 GB    -   Τύπος Δίσκου : HDD    -   Χωρητικότητα Δίσκου: 1000 GB    -   Κάρτα Γραφικών: AMD Integrated R5@449.00 € από 549.00 € @https://www.kotsovolos.gr/site/computing/desktops-and-upgrade-tools/desktops-mac-all-in-one/188585-acer-aspire-xc-330-a9-9420/12gb/1tb@188585@Desktop PC Acer Aspire XC-330 με επεξεργαστή AMD A9 μνήμη RAM 12GB σκληρό δίσκο 1000GB και ενσωματωμένα γραφικά AMD Integrated R5.
Infinity Gear Core 4 Desktop PC@Μοντέλο Επεξεργαστή: Intel Core i3 8100 (3.60 GHz)    -   RAM Memory : 4 GB     -   Τύπος Δίσκου : HDD    -   Χωρητικότητα Δίσκου: 1000 GB    -   Κάρτα Γραφικών: Intel UHD Graphics 630@499.00 € @https://www.kotsovolos.gr/site/computing/desktops-and-upgrade-tools/desktops-mac-all-in-one/186293-infinity%20gear-core-4@186293@Το Core 4 είναι ένα αποδοτικό σύστημα για οικιακή ή office χρήση. Βασισμένο στον 8ης γενιάς Intel Core i3-8100 με τέσσερις φυσικούς πυρήνες στα 3.6GHz και με αυξημένο αποθηκευτικό χώρο το σύστημα της Infinity Gear ανταπεξέρχεται με άνεση σε μια πληθώρα σεναρίων χρήσης.
Lenovo ThinkCentre M710e SFF i3-4GB-1TB-W10Pro Desktop PC@Μοντέλο Επεξεργαστή: Intel Core i3-7100    -   RAM Memory : 4 GB     -   Τύπος Δίσκου : HDD    -   Χωρητικότητα Δίσκου: 1000 GB    -   Κάρτα Γραφικών: HD 630@476.00 € από 549.00 € @https://www.kotsovolos.gr/site/computing/desktops-and-upgrade-tools/desktops-mac-all-in-one/188051-lenovo-thinkcentre-m710e-sff-i3/4gb/1tb/w10pro@188051@Ο ThinkCentre M710 μπορεί να προσαρμοστεί για να καλύψει τις ανάγκες σου σε υπολογιστές σήμερα και στο μέλλον. Με την πιο εξελιγμένη τεχνολογία στην απόδοση και τον αποθηκευτικό χώρο αυτό το pc είναι εξαιρετικά γρήγορο και αποτελεσματικό με ταχεία απόκριση. Εκτός από το ότι είναι σε θέση να ενισχύσει εσένα και την επιχείρησή σου διαθέτει δυνατά χαρακτηριστικά ασφαλείας για την προστασία των κρίσιμων δεδομένων σου και την ενσωματωμένη αξιοπιστία στην οποία μπορεί να βασιστεί η επιχείρησή σου.
