product_name @ features @ price @ link
Μικρόφωνο Gembird Desktop MIC-205 MαύροGEMBIRD@Εγγύηση:  12 μήνες-Κατασκευαστής: GEMBIRD@4,98@https://www.public.gr/product/perifereiaka/pc-headsetmicrophone/mikrofono-gembird-desktop-mic-205-mayro/prod7350407pp/
Ακουστικά κεφαλής Omega Fiesta FIS1010 Headset ΜαύροOMEGA@Εγγύηση:  36 μήνες-Κατασκευαστής: OMEGA@5,99@https://www.public.gr/product/perifereiaka/pc-headsetmicrophone/akoystika-kefalis-omega-fiesta-fis1010-headset-mayro/prod5150530pp/
Ακουστικά κεφαλής Trust Primo II - ΜαύροTRUST@Εγγύηση:  24 μήνες-Κατασκευαστής: TRUST@5,99@https://www.public.gr/product/perifereiaka/pc-headsetmicrophone/akoystika-kefalis-trust-primo-ii-mayro/prod8680512pp/
Μικρόφωνο Hama Desktop CS461 ΓκριHAMA@Εγγύηση:  24 μήνες-Κατασκευαστής: HAMA@6,99@https://www.public.gr/product/perifereiaka/pc-headsetmicrophone/mikrofono-hama-desktop-cs461-gkri/prod4210006pp/
Ακουστικά Κεφαλής  SonicGear Xenon 2 Stereo Headset - GreenSONIC GEAR@Εγγύηση:  12 μήνες-Κατασκευαστής: SONICGEAR@9,99@https://www.public.gr/product/perifereiaka/pc-headsetmicrophone/akoystika-kefalis-sonicgear-xenon-2-stereo-headset-green/prod8800136pp/
Ακουστικά Κεφαλής  SonicGear Xenon 2 Stereo Headset - RedSONIC GEAR@Εγγύηση:  12 μήνες-Κατασκευαστής: SONICGEAR@9,99@https://www.public.gr/product/perifereiaka/pc-headsetmicrophone/akoystika-kefalis-sonicgear-xenon-2-stereo-headset-red/prod8800134pp/
Ακουστικά Κεφαλής  SonicGear Xenon 2 Stereo Headset - Light GreySONIC GEAR@Εγγύηση:  12 μήνες-Κατασκευαστής: SONICGEAR@9,99@https://www.public.gr/product/perifereiaka/pc-headsetmicrophone/akoystika-kefalis-sonicgear-xenon-2-stereo-headset-light-grey/prod8800135pp/
Ακουστικά Κεφαλής  SonicGear Xenon 2 Stereo Headset - Sunny Orang...SONIC GEAR@Εγγύηση:  12 μήνες-Κατασκευαστής: SONICGEAR@9,99@https://www.public.gr/product/perifereiaka/pc-headsetmicrophone/akoystika-kefalis-sonicgear-xenon-2-stereo-headset-sunny-orange/prod8800137pp/
Ακουστικά Κεφαλής  SonicGear Xenon 2 Stereo Headset - TurquilaSONIC GEAR@Εγγύηση:  12 μήνες-Κατασκευαστής: SONICGEAR@9,99@https://www.public.gr/product/perifereiaka/pc-headsetmicrophone/akoystika-kefalis-sonicgear-xenon-2-stereo-headset-turquila/prod8800138pp/
Ακουστικά Κεφαλής Gembird MHS-001 Headset ΜαύροGEMBIRD@Εγγύηση:  12 μήνες-Κατασκευαστής: GEMBIRD@10,99@https://www.public.gr/product/perifereiaka/pc-headsetmicrophone/akoystika-kefalis-gembird-mhs-001-headset-mayro/prod6870985pp/
Ακουστικά Κεφαλής Gembird MHS-001-GW Headset ΛευκόGEMBIRD@Εγγύηση:  12 μήνες-Κατασκευαστής: GEMBIRD@10,99@https://www.public.gr/product/perifereiaka/pc-headsetmicrophone/akoystika-kefalis-gembird-mhs-001-gw-headset-leyko/prod7350406pp/
