product_name @ features @ price @ link
Samsung Galaxy Note 9 128GB Μαύρο 4G Dual Sim SmartphoneSAMSUNG@Εγγύηση:  24 μήνες-Κατασκευαστής: SAMSUNG-Δίκτυο: 4G-Χωρητικότητα: 128 GB-Μνήμη RAM: 6 GB-Κάμερα: 12+12 Megapixel SS Dual Pixel Camera-Επεξεργαστής: Octa Core-Βάρος: 201 g-Dual SIM: Ναι@845,97@https://www.public.gr/product/tilefonia/kinita-smartphones/samsung-galaxy-note-9-128gb-mayro-4g-dual-sim-smartphone/prod9250698pp/
Sony Xperia XA2 Ultra 32GB Μαύρο Dual Sim 4G SmartphoneSONY@"Εγγύηση:  24 μήνες-Κατασκευαστής: SONY-Δίκτυο: 4G-Χωρητικότητα: 32 GB-Μνήμη RAM: 4 GB-Κάμερα: 23 Megapixel με Exmor RS 1/2.3"" f/2.0-Επεξεργαστής: Octa Core-Βάρος: 221 g-Dual SIM: Ναι"@309@https://www.public.gr/product/tilefonia/kinita-smartphones/sony-xperia-xa2-ultra-32gb-mayro-dual-sim-4g-smartphone/prod9091405pp/
Huawei Mate 20 Pro 128GB Dual Sim Μαύρο SmartphoneHUAWEI@Εγγύηση:  24 μήνες-Κατασκευαστής: HUAWEI-Δίκτυο: 4G-Χωρητικότητα: 128 GB-Μνήμη RAM: 6 GB-Κάμερα: 40 MP (έγχρωμη) + 20 MP (έγχρωμη) + 8 MP (έγχρωμη), διάφραγμα F/1.8 + F2.2 + F2.4, υποστηρίζει αυτόματη εστίαση (βαθιά εστίαση, εστίαση φάσης, εστίαση αντίθεσης, εστίαση με λέιζερ-Επεξεργαστής: Octa Core-Βάρος: 189 g-Dual SIM: Ναι@1049@https://www.public.gr/product/tilefonia/kinita-smartphones/huawei-mate-20-pro-128gb-dual-sim-mayro-smartphone/prod9422479pp/
Huawei Mate 20 Pro 128GB Dual Sim Μπλε SmartphoneHUAWEI@Εγγύηση:  24 μήνες-Κατασκευαστής: HUAWEI-Δίκτυο: 4G-Χωρητικότητα: 128 GB-Μνήμη RAM: 6 GB-Κάμερα: 40 MP (έγχρωμη) + 20 MP (έγχρωμη) + 8 MP (έγχρωμη), διάφραγμα F/1.8 + F2.2 + F2.4, υποστηρίζει αυτόματη εστίαση (βαθιά εστίαση, εστίαση φάσης, εστίαση αντίθεσης, εστίαση με λέιζερ-Επεξεργαστής: Octa Core-Βάρος: 189 g-Dual SIM: Ναι@1049@https://www.public.gr/product/tilefonia/kinita-smartphones/huawei-mate-20-pro-128gb-dual-sim-mple-smartphone/prod9422480pp/
Apple iPhone XS 64GB Space Grey 4G SmartphoneAPPLE@Εγγύηση:  12 μήνες-Κατασκευαστής: APPLE-Δίκτυο: 4G-Χωρητικότητα: 64 GB-Μνήμη RAM: 4GB-Κάμερα: 12 Megapixel Dual Camera f1.8 (Telephoto: f/2.4) με Dual OIS-Επεξεργαστής: Hexa Core-Βάρος: 177 g-Dual SIM: Όχι@1229@https://www.public.gr/product/tilefonia/kinita-smartphones/apple-iphone-xs-64gb-space-grey-4g-smartphone/prod9324076pp/
Apple iPhone XS Max 256GB Space Grey 4G SmartphoneAPPLE@Εγγύηση:  12 μήνες-Κατασκευαστής: APPLE-Δίκτυο: 4G-Χωρητικότητα: 256 GB-Μνήμη RAM: 4GB-Κάμερα: 12 Megapixel Dual Camera f1.8 (Telephoto: f/2.4) με Dual OIS-Επεξεργαστής: Hexa Core-Βάρος: 208 g-Dual SIM: Όχι@1539@https://www.public.gr/product/tilefonia/kinita-smartphones/apple-iphone-xs-max-256gb-space-grey-4g-smartphone/prod9324088pp/
Apple iPhone XR 128GB White 4G SmartphoneAPPLE@Εγγύηση:  12 μήνες-Κατασκευαστής: APPLE-Δίκτυο: 4G-Χωρητικότητα: 128 GB-Μνήμη RAM: 3GB-Κάμερα: 12 Megapixel f1.8 με OIS-Βάρος: 194 g-Dual SIM: Όχι@999,01@https://www.public.gr/product/tilefonia/kinita-smartphones/apple-iphone-xr-128gb-white-4g-smartphone/prod9324104pp/
Samsung Galaxy S9+ 64GB Μπλε Dual Sim SmartphoneSAMSUNG@Εγγύηση:  24 μήνες-Κατασκευαστής: SAMSUNG-Δίκτυο: 4G-Χωρητικότητα: 64 GB-Μνήμη RAM: 6 GB-Κάμερα: 12 Megapixel Dual Pixel Camera f2.4-f1.5 AF με OIS-Επεξεργαστής: Octa Core-Βάρος: Μη διαθέσιμη πληροφορία-Dual SIM: Ναι@789@https://www.public.gr/product/tilefonia/kinita-smartphones/samsung-galaxy-s9-plus-64gb-mple-dual-sim-smartphone/prod8957111pp/
Nokia 7 Plus 64GB Μαύρο 4G SmartphoneNOKIA@Εγγύηση:  24 μήνες-Κατασκευαστής: NOKIA-Δίκτυο: 4G-Χωρητικότητα: 64 GB-Μνήμη RAM: 4 GB LPDDR4-Κάμερα: Dual Camera 12 Megapixel 1.4mm f/1.75 2PD με ZEISS optics, 13 Megapixel 1.0mm f/2.6 με ZEISS optics, dual-tone flash-Επεξεργαστής: Octa Core-Βάρος: Μη διαθέσιμη πληροφορία-Dual SIM: Όχι@458,99@https://www.public.gr/product/tilefonia/kinita-smartphones/nokia-7-plus-64gb-mayro-4g-smartphone/prod8971066pp/
MLS DX 16GB Κόκκινο Dual Sim SmartphoneMLS@Εγγύηση:  12 μήνες-Κατασκευαστής: MLS-Δίκτυο: 4G-Χωρητικότητα: 16 GB-Μνήμη RAM: 2 GB-Κάμερα: 16 Megapixel + 5 Megapixel Dual Camera-Επεξεργαστής: Quad Core-Βάρος: 140 g-Dual SIM: Ναι@129,9@https://www.public.gr/product/tilefonia/kinita-smartphones/mls-dx-16gb-kokkino-dual-sim-smartphone/prod8850193pp/
Smartphone Samsung Galaxy J6 2018 Dual Sim 32GB ΧρυσόSAMSUNG@Εγγύηση:  24 μήνες-Κατασκευαστής: SAMSUNG-Δίκτυο: 4G-Χωρητικότητα: 32 GB-Μνήμη RAM: 3 GB-Κάμερα: 13 Megapixel-Επεξεργαστής: Octa Core-Βάρος: 154 g-Dual SIM: Ναι@169@https://www.public.gr/product/tilefonia/kinita-smartphones/smartphone-samsung-galaxy-j6-2018-dual-sim-32gb-hryso/prod9110287pp/
MLS DX 16GB Μαύρο Dual Sim SmartphoneMLS@Εγγύηση:  12 μήνες-Κατασκευαστής: MLS-Δίκτυο: 4G-Χωρητικότητα: 16 GB-Μνήμη RAM: 2 GB-Κάμερα: 16 Megapixel + 5 Megapixel Dual Camera-Επεξεργαστής: Quad Core-Βάρος: 140 g-Dual SIM: Ναι@129,9@https://www.public.gr/product/tilefonia/kinita-smartphones/mls-dx-16gb-mayro-dual-sim-smartphone/prod8810275pp/
